key,en-GB,spa-ES,fre-FR,por-PT,ita-IT,ger-DE,gre,tur,afr
Reset?,Reset?,¿Reiniciar?,Réinitialiser ?,Reiniciar?,Annullare?,Zurücksetzen?,Επαναφορά;,Sıfırlansın mı?,Stel terug?
Sent a Picture,Sent a Picture,Enviar una imagen,Envoyer une image,Imagem enviada,Invia una foto,Ein Bild senden,Αποστολή εικόνας,Bir Resim gönderdi,Het ’n prent gestuur
Sent a Sticker,Sent a Sticker,Enviar una pegatina,Envoyer un sticker,Autocolante enviado,Invia un adesivo,Einen Sticker senden,Αποστολή sticker,Bir Çıkartma gönderdi,Het ’n plakker gestuur
Sent a Link,Sent a Link,Enviar un enlace,Envoyer un lien,Hiperligação enviada,Invia un link,Einen Link senden,Αποστολή συνδέσμου,Bir Bağlantı gönderdi,Het ’n skakel gestuur
Add New Profile,Add New Profile,Añadir perfil nuevo,Ajouter un profil,Novo perfil adicionado,Aggiungi nuovo profilo,Neues Profil hinzufügen,Προσθήκη νέου προφίλ,Yeni Profil Ekle,Voeg nuwe profiel by
PIN,PIN,PIN,PIN,PIN,PIN,PIN,PIN,PIN,PIN
Change password,Change password,Cambiar contraseña,Changer le mot de passe,Mudar a password,Cambia password,Passwort ändern,Αλλαγή κωδικού πρόσβασης,Parolayı değiştir,Verander wagwoord
Enter current password,Enter current password,Introduce la contraseña actual,Saisissez le mot de passe actuel,Introduza a password atual,Inserire password attuale,Aktuelles Passwort eingeben,Εισαγωγή κωδικού πρόσβασης,Mevcut parolayı girin,Voer huidige wagwoord in
Enter new password,Enter new password,Introduce la contraseña nueva,Saisissez le nouveau mot de passe,Introduza uma nova password,Inserire nuova password,Neues Passwort eingeben,Εισαγωγή νέου κωδικού πρόσβασης,Yeni parolayı girin,Voer nuwe wagwoord in
Premium Subscription\nRenew’s on %s,Premium Subscription\nRenew’s on %s,La suscripción Premium\nse renovará en %s,Abonnement Premium\nRenouvellement le %s,A subscrição Premium\né renovada em %s,Abbonamento premium\nSi rinnova il %s,Premium-Abonnement\nwird erneuert am %s,Συνδρομή Premium\nΗ ανανέωση θα πραγματοποιηθεί στις %s,Premium Abonelik\nYenilenme tarihi: %s,Premium intekening\nHernu op %s
Manage,Manage,Administrar,Gestion de l'abonnement,Gerir,Gestisci,Verwalten,Διαχείριση,Yönet,Bestuur
Free Account\nTap Renew for a special offer,Free Account\nTap Renew for a special offer,Cuenta gratuita\nToca en Renovar para obtener una oferta especial,Compte gratuit\nAppuyez sur Renouveler pour afficher une offre spéciale,Conta Gratuita\nToque em Renovar para obter uma oferta especial,Account gratuito\nPremi Rinnova per un’offerta speciale,Kostenloses Konto\nTippen Sie ‚Verlängern‘ an für ein besonderes Angebot,Δωρεάν λογαριασμός\nΠατήστε Ανανέωση για μια ειδική προσφορά,Ücretsiz Hesap\nÖzel bir teklif için Yenile düğmesine dokunun,Gratis rekening\nTik Hernu vir ’n spesiale aanbod
Renew subscription,Renew subscription,Renovar suscripción,Renouveler l'abonnement,Renovar a subscrição,Rinnova abbonamento,Abonnement verlängern,Ανανέωση συνδρομής,Aboneyi yenile,Hernu intekening
Your pin number has been updated!,Your pin number has been updated!,¡Se ha actualizado tu número de PIN!,Votre code PIN a été mis à jour !,O seu PIN foi atualizado!,Il tuo codice pin è stato aggiornato!,Ihre PIN-Nummer wurde aktualisiert!,Ο αριθμός pin ενημερώθηκε!,Pin kodunuz güncellendi!,Jou PIN-nommer is bygewerk!
Your password has been updated!,Your password has been updated!,¡Se ha actualizado tu contraseña!,Votre mot de passe a été mis à jour !,A sua password foi atualizada!,La tua password è stata aggiornata!,Ihr Passwort wurde aktualisiert!,Ο κωδικός πρόσβασής σας ενημερώθηκε!,Parolanız güncellendi!,Jou wagwoord is bygewerk!
The current password you entered doesn't seem to match up with what we’ve got,The current password you entered doesn't seem to match up with what we’ve got,La contraseña actual que has introducido no parece coincidir con nuestros registros,Le mot de passe actuel que vous avez saisi est incorrect.,A password atual que introduziu não corresponde à que já possuímos,La password attuale che hai inserito non sembra corrispondere con quella che abbiamo,Ihr aktuell eingegebenes Passwort stimmt nicht mit unseren Aufzeichnungen überein,Ο τρέχον κωδικός πρόσβασης που εισαγάγατε δεν φαίνεται να αντιστοιχεί σε αυτόν που ήδη έχουμε,"Girdiğiniz mevcut parola, elimizdeki parolayla eşleşmiyor","Die huidige wagwoord wat jy ingevoer het, lyk nie of dit ooreenstem met die een wat ons het nie"
wants to be friends with,wants to be friends with,quiere establecer una amistad con,veut être ami(e) avec,quer ser amigo de,vuole essere tuo amico,möchte befreundet sein mit,θέλει να γίνει φίλος με,şu kullanıcıyla arkadaş olmak istiyor:,wil vriende wees met
Reject,Reject,Rechazar,Refuser,Rejeitar,Rifiuta,Ablehnen,Απόρριψη,Reddet,Weier
Confirm,Confirm,Confirmar,Accepter,Confirmar,Conferma,Bestätigen,Επιβεβαίωση,Onayla,Bevestig
This request has been rejected,This request has been rejected,Esta solicitud se ha rechazado,Cette requête a été refusée,Este pedido foi rejeitado,Questa richiesta è stata rifiutata,Diese Anfrage wurde abgelehnt,Αυτό το αίτημα απορρίφθηκε,Bu talep reddedildi,Hierdie versoek is geweier
%s can now chat with this friend!,%s can now chat with this friend!,¡Ahora %s puede chatear con este amigo!,%s peut désormais discuter avec son ami(e) !,%s agora pode conversar com este amigo!,%s adesso può chattare con questo amico!,%s kann jetzt mit diesem Freund chatten!,Ο χρήστης %s μπορεί τώρα να συνομιλήσει με αυτόν το φίλο!,"%s, şimdi bu arkadaşla sohbet edebilir!",%s kan nou met hierdie vriend klets!
%s uses Azoomee to chat safely with family & friends. Enter %s's Kid Code %s in Azoomee to start chatting with your child.\nDownload Azoomee here: http://bit.ly/azoomeekids,%s uses Azoomee to chat safely with family & friends. Enter %s's Kid Code %s in Azoomee to start chatting with your child.\nDownload Azoomee here: http://bit.ly/azoomeekids,%s utiliza Azoomee para chatear con seguridad con la familia y los amigos. Introduzca el código infantil de %s%s de Azoomee para comenzar a chatear con tu hijo/a.\nDescarga Azoomee aquí: http://bit.ly/azoomeekids,%s utilise Azoomee pour discuter en toute sécurité avec sa famille et ses amis. Saisissez le code enfant de %s (%s) dans Azoomee pour entamer une conversation avec votre enfant.\nTéléchargez Azoomee à cette adresse : http://bit.ly/azoomeekids,%s utiliza o Azoomee para conversar em segurança com família e amigos. Introduza o %sCódigo de Criança %s no Azoomee para começar a conversar com a sua criança.\nTransfira o Azoomee aqui: http://bit.ly/azoomeekids,%s utilizza Azoomee per chattare in sicurezza con familiari e amici. Inserisci il Codice bambino di %s %s su Azoomee per iniziare a chattare con il tuo bambino.\nScarica Azoomee qui: http://bit.ly/azoomeekids,"%s verwendet Azoomee, um sicher mit Freunden und Familie zu chatten. Geben Sie %ss Kindercode %s auf Azoomee ein, um mit Ihrem Kind zu chatten.\nLaden Sie Azoomee hier herunter: http://bit.ly/azoomeekids",Ο χρήστης %s χρησιμοποιεί το Azoomee για να συνομιλεί με οικογένεια και φίλους με ασφάλεια. Εισαγάγετε τον κωδικό παιδιού %sτου χρήστη %s στο Azoomee για να ξεκινήσετε να συνομιλείτε με το παιδί σας.\nΠραγματοποιήστε λήψη του Azoomee από εδώ: http://bit.ly/azoomeekids,"%s, ailesi ve arkadaşlarıyla güvenli bir şekilde sohbet edebilmek için Azoomee'yi kullanıyor. Çocuğunuzla sohbet etmeye başlamak üzere %s için Çocuk Kodunu %s girin.\nAzoomee'yi şu bağlantıdan indirebilirsiniz: http://bit.ly/azoomeekids",%s gebruik Azoomee om veilig met familie en vriende te klets. Voer %s se kinderkode %s in Azoomee in om met jou kind te begin klets.\nLaai Azoomee hier af: http://bit.ly/azoomeekids
Are you sure you want to reject this profile?,Are you sure you want to reject this profile?,¿Seguro que quieres rechazar este perfil?,Voulez-vous refuser ce profil ?,Tem a certeza de que pretende rejeitar este perfil?,Vuoi davvero rifiutare questo profilo?,Möchten Sie dieses Profil wirklich ablehnen?,Είστε βέβαιοι ότι θέλετε να απορρίψετε αυτό το προφίλ;,Bu profili reddetmek istediğinizden emin misiniz?,Is jy seker jy wil hierdie profiel weier?
Send,Send,Enviar,Envoyer,Enviar,Invia,Senden,Αποστολή,Gönder,Stuur
Your friend has been invited!,Your friend has been invited!,¡Has invitado a tu amigo/a!,Invitation envoyée !,O teu amigo foi convidado!,Il tuo amico è stato invitato!,Dein Freund wurde eingeladen!,Οι φίλοι σου έχουν προσκληθεί!,Arkadaşınız davet edildi!,Jou vriend is genooi!
Their parents will need to confirm the friendship,Their parents will need to confirm the friendship,Sus padres tendrán que confirmar la amistad,Ses parents devront d'abord accepter la requête,É necessário que os pais do teu amigo confirmem a amizade,I suoi genitori dovranno confermare l’amicizia,Die Eltern müssen die Freundschaft noch bestätigen,Οι γονείς τους θα πρέπει να επιβεβαιώσουν αυτήν τη φιλία,Ebeveynlerinin arkadaşlığı onaylaması gerekiyor,Hulle ouers moet die vriendskap bevestig
Invite another friend,Invite another friend,Invitar a otro amigo,Envoyer une nouvelle invitation,Convidar outro amigo,Invita un altro amico,Lade einen weiteren Freund ein,Πρόσκληση άλλου φίλου,Başka bir arkadaş davet et,Nooi nog ’n vriend
We didn't recognise that Kid Code.,We didn't recognise that Kid Code.,No hemos reconocido ese código infantil.,Ce code enfant est invalide.,Não reconhecemos esse Código de Criança.,Codice bambino non riconosciuto.,Den Kindercode konnten wir nicht erkennen.,Δεν μπορέσαμε να αναγνωρίσουμε αυτόν τον κωδικό παιδιού.,Bu Çocuk Kodunu tanıyamadık.,Ons herken nie daardie kinderkode nie.
Settings,Settings,Configuración,Paramètres,Definições,Impostazioni,Einstellungen,Ρυθμίσεις,Ayarlar,Instellings
Language,Language,Idioma,Langue,Idioma,Lingua,Sprache,Γλώσσα,Dil,Taal
Change your language selection,Change your language selection,Cambia la selección del idioma,Modifier la langue de l'application,Mudar o idioma selecionado,Cambia la lingua scelta,Sprachauswahl ändern,Αλλαγή της επιλογής γλώσσας,Dil seçimini değiştirin,Verander jou taalseleksie
Manage your kids’ profiles and add friends using Kid Codes,Manage your kids’ profiles and add friends using Kid Codes,Administra el perfil de tus hijos y añade amigos con los códigos infantiles,Gérer les profils de vos enfants et ajouter des amis à l'aide de codes enfant,Gira os perfis dos seus filhos e adicione amigos através de Códigos de Criança,Gestisci i profili dei tuoi bambini e aggiungi amici usando i Codici bambino,Verwalten Sie das Profil Ihrer Kinder und fügen Sie Freunde mittels Kindercodes hinzu,Διαχείριση των προφίλ των παιδιών σας και προσθήκη φίλων χρησιμοποιώντας κωδικούς παιδιών,Çocuklarınızın profillerini yönetin ve Çocuk Kodlarını kullanarak arkadaşlar ekleyin,Bestuur jou kinders se profiele en voeg vriende by deur kinderkodes te gebruik
Update your details and manage your subscription,Update your details and manage your subscription,Actualiza los datos y administra la suscripción,Gérer vos informations personnelles et votre abonnement,Atualize os seus dados e faça gestão da sua subscrição,Aggiorna le tue informazioni e gestisci il tuo abbonamento,Aktualisieren Sie Ihre Angaben und verwalten Sie Ihr Abonnement,Ενημέρωση των στοιχείων σας και διαχείριση της συνδρομής σας,Bilgilerinizi güncelleyin ve aboneliğinizi yönetin,Werk jou besonderhede by en bestuur jou intekening
